序號,河川名稱,河川代碼,階層,上游河川,主流水系
,水長流排水幹線-4,14301C,4,水長流溪,大甲溪
,水長流排水幹線-5,14301D,4,水長流溪,大甲溪
,北港溪排水幹線-1,143012,3,北港溪,大甲溪
,北港溪排水幹線-2,143013,3,北港溪,大甲溪
,北港溪排水幹線-3,143014,3,北港溪,大甲溪
,北港溪排水幹線-4,143015,3,北港溪,大甲溪
,北港溪排水幹線-5,143016,3,北港溪,大甲溪
,下石門排水幹線,143017,3,北港溪,大甲溪
,國姓排水幹線,143018,3,北港溪,大甲溪
,南港溪,143020,2,大甲溪,大甲溪
,北坑溪排水,143021,3,南港溪,大甲溪
,貓羅溪,143040,2,大甲溪,大甲溪
,平林溪,143041,3,貓羅溪,大甲溪
,樟平溪,143042,3,貓羅溪,大甲溪
,隘寮溪排水,143043,3,貓羅溪,大甲溪
,大里溪,143050,2,大甲溪,大甲溪
,大坑溪,143051,3,大里溪,大甲溪
,廍子溪,143052,3,大里溪,大甲溪
,苧園溪,14305K,4,廍子溪,大甲溪
,坪林排水,14305Q,4,廍子溪,大甲溪
,烏牛欄溪,14305M,4,廍子溪,大甲溪
,龍虎鬪坑排水,14305A,4,廍子溪,大甲溪
,莿仔埔坑排水,14305E,4,廍子溪,大甲溪
,北屯圳,14305J,4,廍子溪,大甲溪
,二重溪,14305L,4,廍子溪,大甲溪
,己人湖溪,14305P,5,二重溪,大甲溪
,番仔溝,14305O,4,廍子溪,大甲溪
,鐮仔坑排水,14305N,4,廍子溪,大甲溪
,頭汴坑溪,143054,3,大里溪,大甲溪
,光隆村興隆村共同排水,14305R,4,頭汴坑溪,大甲溪
,七星排水,14305S,4,頭汴坑溪,大甲溪
,牛角坑溝,14305T,4,頭汴坑溪,大甲溪
,草湖溪,143055,3,大里溪,大甲溪
,北溝溪排水,14305B,4,草湖溪,大甲溪
,乾溪排水,14305C,4,草湖溪,大甲溪
,旱溪排水,143056,3,大里溪,大甲溪
,柳川排水,14305D,4,旱溪排水,大甲溪
,土庫溪排水,14305F,4,旱溪排水,大甲溪
,南屯溪排水,14305Q,5,土庫溪排水,大甲溪
,下橋子頭排水,14305G,4,旱溪排水,大甲溪
,綠川排水,14305H,4,旱溪排水,大甲溪
,大智排水,14305I,4,旱溪排水,大甲溪
,樹玉埤排水,143057,3,大里溪,大甲溪
,中興段排水,143058,3,大里溪,大甲溪
,墘溝埤排水,143059,3,大里溪,大甲溪
,土城埤支線,14305U,4,墘溝埤排水,大甲溪
,溪底溝排水,14305V,3,大里溪,大甲溪
,后溪底排水,14305W,3,大里溪,大甲溪
,后溪底支線,14305X,4,后溪底排水,大甲溪
,興台支線,14305Y,4,后溪底排水,大甲溪
,溪心埧排水,14305Z,3,大里溪,大甲溪
,筏子溪,143060,2,大甲溪,大甲溪
,港尾子溪排水,143061,3,筏子溪,大甲溪
,四塊厝圳支線,14306A,4,港尾子溪排水,大甲溪
,十四張圳支線,14306B,4,港尾子溪排水,大甲溪
,員寶庄圳支線,14306C,4,港尾子溪排水,大甲溪
,牛埔庄圳支線,14306S,5,員寶庄圳支線,大甲溪
,大埔厝圳支線,14306D,4,港尾子溪排水,大甲溪
,東員寶支線,14306T,5,大埔厝圳支線,大甲溪
,林厝排水,143062,3,筏子溪,大甲溪
,下林厝坑,14306F,4,林厝排水,大甲溪
,水崛頭坑,14306Q,5,下林厝坑,大甲溪
,大社支線七號支線,14306K,4,林厝排水,大甲溪
,普濟溪,143063,3,筏子溪,大甲溪
,東大溪,14306E,4,普濟溪,大甲溪
,內新庄子溪,143064,3,筏子溪,大甲溪
,惠來溪,14306G,4,內新庄子溪,大甲溪
,潮洋溪,14306R,5,惠來溪,大甲溪
,黎明溝,14306H,4,內新庄子溪,大甲溪
,劉厝溪,143065,3,筏子溪,大甲溪
,鎮平溪,14306I,4,劉厝溪,大甲溪
,南邊溪,143066,3,筏子溪,大甲溪
,文山溪,143067,3,筏子溪,大甲溪
,七星溪,14306J,4,文山溪,大甲溪
,十三寮排水,143068,3,筏子溪,大甲溪
,上橫山支線,14306L,4,十三寮排水,大甲溪
,下員林支線,14306M,4,十三寮排水,大甲溪
,中央圳七輪支線,14306N,4,十三寮排水,大甲溪
,大雅排水,143069,3,筏子溪,大甲溪
,三角泳支線,14306O,4,大雅排水,大甲溪
,塔蓮溝支線,14306P,4,大雅排水,大甲溪
,同安厝排水,143070,2,大甲溪,大甲溪
,崁子腳排水,143080,2,大甲溪,大甲溪
,社子腳坑支線,143081,3,崁子腳排水,大甲溪
,追分排水,143090,2,大甲溪,大甲溪
,王田支線,143091,3,追分排水,大甲溪
,王田石坑排水,1430A0,2,大甲溪,大甲溪
,成功嶺排水,1430B0,2,大甲溪,大甲溪
,溪尾寮排水,1430C0,2,大甲溪,大甲溪
,龜坑排水幹線,1430D0,2,大甲溪,大甲溪
,龜坑排水幹線-1,1430D1,3,龜坑排水幹線,大甲溪
,龜坑排水幹線-2,1430D2,3,龜坑排水幹線,大甲溪
,龜坑排水幹線-3,1430D3,3,龜坑排水幹線,大甲溪
44.0,萬寮溪,144000,1,,萬寮溪
45.0,洋仔厝溪,145000,1,,洋仔厝溪
46.0,員林大排水(鹿港溪),146000,1,,員林大排水(鹿港溪)
47.0,舊濁水溪(麥嶼溪),147000,1,,舊濁水溪(麥嶼溪)
48.0,萬興排水幹線(舊濁水溪),148000,1,,萬興排水幹線(舊濁水溪)
49.0,二林溪(沙山溪),149000,1,,二林溪(沙山溪)
50.0,魚寮溪,150000,1,,魚寮溪
51.0,濁水溪,151000,1,,濁水溪
,陳有蘭溪,151010,2,濁水溪,濁水溪
,和社溪,151011,3,陳有蘭溪,濁水溪
,沙里仙溪,151012,3,陳有蘭溪,濁水溪
,阿里不動溪,151013,3,陳有蘭溪,濁水溪
,筆石溪,151014,3,陳有蘭溪,濁水溪
,十八重溪,151015,3,陳有蘭溪,濁水溪
,內茅埔溪,151016,3,陳有蘭溪,濁水溪
,郡坑溪,151017,3,陳有蘭溪,濁水溪
,蒼庫溪,151018,3,陳有蘭溪,濁水溪
,清水溪,151020,2,濁水溪,濁水溪
,阿里山溪,151021,3,清水溪,濁水溪
,加走寮溪,151022,3,清水溪,濁水溪
,內田子溪,151023,3,清水溪,濁水溪
,雷公坑溪,151025,3,清水溪,濁水溪
,東埔蚋溪,151030,2,濁水溪,濁水溪
,萬大溪,151040,2,濁水溪,濁水溪
,卡社溪,151050,2,濁水溪,濁水溪
,郡大溪,151060,2,濁水溪,濁水溪
,巒大溪,151061,3,郡大溪,濁水溪
,丹大溪,151070,2,濁水溪,濁水溪
,卓棍溪,151080,2,濁水溪,濁水溪
,水里溪,151090,2,濁水溪,濁水溪
